id,author,department,dept_id
1104,"Bowles, Dawn Elizabeth",Surgery,68
1105,"Schroder, Jacob Niall",Surgery,68
1106,"Kontos, Christopher Dale",Medicine,39
1107,"Bowman, Rachel A",Psychiatry,54
1108,"Boyce, Michael Scott",Biochemistry,6
1109,"Boyer, Douglas Martin",Evolutionary Anthropology,29
1110,"Daubechies, Ingrid",Mathematics,36
1111,"Bradford, Daniel William",Psychiatry & Behavioral Sciences,55
1112,"Kilts, Jason David",Psychiatry & Behavioral Sciences,55
1113,"Naylor, Jennifer C.",Psychiatry & Behavioral Sciences,55
1114,"Braxton, Loretta Elaine",Psychiatry & Behavioral Sciences,55
1115,"Zinn, Sandra Denise",Psychiatry & Behavioral Sciences,55
1116,"Strauman, Timothy J.",Psychology and Neuroscience,56
1117,"Swanson, Jeffrey W.",Psychiatry & Behavioral Sciences,55
1118,"Bradley, Deborah Ann",Medicine,39
1119,"Inman, Brant Allen",Surgery,68
1120,"Bradrick, Shelton",Molecular Genetics and Microbiology,40
1121,"Bradshaw, Wanda Todd",School of Nursing,63
1122,"Brady, David J.",Electrical and Computer Engineering,26
1123,"Marks, Daniel L.",Electrical and Computer Engineering,26
1124,"Gehm, Michael",Electrical and Computer Engineering,26
1125,"Kim, Jungsang",Electrical and Computer Engineering,26
1126,"Schmidler, Scott C.",Statistical Science,67
1127,"Willett, Rebecca",Electrical and Computer Engineering,26
1128,"Kapadia, Anuj J",Radiology,58
1129,"Carin, Lawrence",Electrical and Computer Engineering,26
1130,"Smith, David R.",Electrical and Computer Engineering,26
1131,"Liao, Xuejun",Electrical and Computer Engineering,26
1132,"Sapiro, Guillermo",Electrical and Computer Engineering,26
1133,"Tornai, Martin Paul",Radiology,58
1134,"Branch, Malcolm Stanley",Medicine,39
1135,"Jowell, Paul Simon",Medicine,39
1136,"Liddle, Rodger Alan",Medicine,39
1137,"Obando, Jorge Valdemar",Medicine,39
1138,"Poleski, Martin Henry",Medicine,39
1139,"Pabon-Ramos, Waleska Michelle",Radiology,58
1140,"Burbridge, Rebecca Ann",Medicine,39
1141,"Omotosho, Philip Ayodeji",Surgery,68
1142,"Curry, John F.",Psychiatry,54
1143,"Malcolm, William Ferris",Pediatrics,48
1144,"Turner, Barbara Swope",School of Nursing,63
1145,"Levy, Janet Anne",School of Nursing,63
1146,"Hawks, Sharon Jeanette",School of Nursing,63
1147,"Powell, Dorothy Lewis",School of Nursing,63
1148,"Taicher, Brad Matthew",Anesthesiology,2
1149,"Brandon, Robert N.",Philosophy,50
1150,"McShea, Daniel W.",Biology,7
1151,"Brands, Hal",Sanford School of Public Policy,61
1152,"Brandt, Michael W.",Fuqua School of Business,30
1153,"Brannon, Elizabeth M.",Psychology and Neuroscience,56
1154,"Platt, Michael Louis",Neurobiology,42
1155,"Drea, Christine M.",Evolutionary Anthropology,29
1156,"Hare, Brian",Evolutionary Anthropology,29
1157,"Nunn, Charles L",Evolutionary Anthropology,29
1158,"Brav, Alon",Fuqua School of Business,30
1159,"Bray, Hubert",Mathematics,36
1160,"Brennan, Richard Gerald",Biochemistry,6
1161,"Schumacher, Maria Anne",Biochemistry,6
1162,"Guan, Ziqiang",Biochemistry,6
1163,"Collins, Bradley Henry",Surgery,68
1164,"Hollenbeck, Scott Thomas",Surgery,68
1165,"Ravindra, Kadiyala Venkata",Surgery,68
1166,"Sudan, Debra L",Surgery,68
1167,"Sushama, Deepak Vikraman",Surgery,68
1168,"Huang, Xiaopei",Medicine,39
1169,"Patel, Keyur",Medicine,39
1170,"Bretherton, Luke Michael",Divinity School,20
1171,"Heilbron, Nicole Sara",Psychiatry,54
1172,"Brigman, Brian Eugene",Orthopaedics,46
1173,"Erdmann, Detlev",Surgery,68
1174,"Eward, William Curtis",Orthopaedics,46
1175,"Levinson, Howard",Surgery,68
1176,"Richard, Marc Joseph",Orthopaedics,46
1177,"Harrelson, John Miles",Orthopaedics,46
1178,"Larrier, Nicole A.",Radiation Oncology,57
1179,"Dunphy II, Frank Russell",Medicine,39
1180,"Esclamado, Ramon Mitra",Surgery,68
1181,"Scher, Richard Lyle",Surgery,68
1182,"Wu, Qingrong",Radiation Oncology,57
1183,"Cohen, Seth Morris",Surgery,68
1184,"Fisher, Samuel Rankin",Surgery,68
1185,"Lee, Walter T",Surgery,68
1186,"Puscas, Liana",Surgery,68
1187,"Witsell, David Latham",Surgery,68
1188,"Roy Choudhury, Kingshuk",Biostatistics & Bioinformatics,9
1189,"Broach, Amy Nicole",Obstetrics and Gynecology,44
1190,"Broder, Joshua Seth",Surgery,68
1191,"Brooke, Martin A.",Electrical and Computer Engineering,26
1192,"Jokerst, Nan Marie",Electrical and Computer Engineering,26
1193,"Palmer, Gregory M.",Radiation Oncology,57
1194,"Brooks, Kelli Rachel",Surgery,68
1195,"Shapiro, Mark Louis",Surgery,68
1196,"Broverman, Sherryl A.",Biology,7
1197,"Puffer, Eve Sullivan",Psychology and Neuroscience,56
1198,"Meade, Christina S.",Psychiatry & Behavioral Sciences,55
1199,"Sikkema, Kathleen J.",Psychology and Neuroscience,56
1200,"Watt, Melissa",Duke Global Health Institute,21
1201,"Brown, April S.",Electrical and Computer Engineering,26
1202,"Collins, Leslie M.",Electrical and Computer Engineering,26
1203,"Fischer, Martin",Chemistry,11
1204,"Warren, Warren S.",Chemistry,11
1205,"Chen, Jun",Medicine,39
1206,"Fitch, Robert Douglas",Orthopaedics,46
1207,"Owens, Thomas Andrew",Medicine,39
1208,"Lark, Robert",Orthopaedics,46
1209,"Thacker, Julie K. Marosky",Surgery,68
1210,"Brown, David B.",Fuqua School of Business,30
1211,"Smith, James E.",Fuqua School of Business,30
1212,"Chireau, Monique V.",Obstetrics and Gynecology,44
1213,"Plassman, Brenda Lee",Psychiatry & Behavioral Sciences,55
1214,"Petrella, Jeffrey Robert",Radiology,58
1215,"Brownell, Kelly D.",Sanford School of Public Policy,61
1216,"Brudney, Charles Scott",Anesthesiology,2
1217,"Gagliardi, Jane Patricia",Psychiatry & Behavioral Sciences,55
1218,"Kaddurah-Daouk, Rima Fathi",Psychiatry & Behavioral Sciences,55
1219,"Bruzelius, Caroline",Art,3
1220,"Buchanan, Allen Edward",Philosophy,50
1221,"Buchanan, Ann Marie",Pediatrics,48
1222,"Buchheit, Thomas Edward",Anesthesiology,2
1223,"Pyati, Srinivas",Anesthesiology,2
1224,"Van de Ven, Thomas John",Anesthesiology,2
1225,"Buchler, Nicolas",Biology,7
1226,"You, Lingchong",Biomedical Engineering,8
1227,"Crowley, Steven Daniel",Medicine,39
1228,"Dolber, Paul Christian",Surgery,68
1229,"Sparks, Matthew A.",Medicine,39
1230,"Buckley, Edward George",Ophthalmology,45
1231,"Prakalapakorn, Sasapin Grace",Ophthalmology,45
1232,"Mruthyunjaya, Prithvi",Ophthalmology,45
1233,"Vajzovic, Lejla",Ophthalmology,45
1234,"Crow, Jennifer H",Pathology,47
1235,"Buckley, Rebecca Hatcher",Pediatrics,48
1236,"Sarzotti-Kelsoe, Marcella",Immunology,33
1237,"Hershfield, Michael Steven",Medicine,39
1238,"Roberts, Joseph Linton",Pediatrics,48
1239,"Zhong, Xiaoping",Pediatrics,48
1240,"Devlin, Blythe Hazlehurst",Pediatrics,48
1241,"Markert, Mary Louise",Pediatrics,48
1242,"Parikh, Suhag H.",Pediatrics,48
1243,"Bugni, Federico",Economics,24
1244,"Buhr, Gwendolen Toni",Medicine,39
1245,"White, Heidi Kay",Medicine,39
1246,"Heflin, Mitchell Tod",Medicine,39
1247,"Yanamadala, Mamata",Medicine,39
1248,"Twersky, Jack Isaac",Medicine,39
1249,"Cutson, Toni Michele",Medicine,39
1250,"Lyles, Kenneth Ward",Medicine,39
1251,"Burch Jr., Warner Miller",Medicine,39
1252,"Pietrobon, Ricardo Santos",Surgery,68
1253,"Burnett, Bruce Kendall",Medicine,39
1254,"Niedzwiecki, Donna",Biostatistics & Bioinformatics,9
1255,"Burns, Barbara Jean",Psychiatry & Behavioral Sciences,55
1256,"March, John S.",Psychiatry,54
1257,"Wells, Karen Cameron",Psychiatry,54
1258,"Burnside, A. Craig",Economics,24
1259,"Satterwhite, Lisa L",Biomedical Engineering,8
1260,"Wax, Adam P.",Biomedical Engineering,8
1261,"Pitt, Geoffrey Stuart",Medicine,39
1262,"Puranam, Ram Sharma",Neurology,43
1263,"Rosenberg, Paul Brian",Medicine,39
1264,"Hutson, Mary Redmond",Pediatrics,48
1265,"Yen, Paul Michael",Medicine,39
1266,"Burt, Tal",Psychiatry & Behavioral Sciences,55
1267,"Burton III, Claude Shreve",Dermatology,18
1268,"Burton, Linda",Sociology,66
1269,"Burton, Richard M.",Fuqua School of Business,30
1270,"Mitchell, William G.",Fuqua School of Business,30
1271,"Buthe, Tim",Political Science,52
1272,"Butler, Megan Williston",Pediatrics,48
1273,"Garrett Jr., William Elwood",Orthopaedics,46
1274,"Butterly, David William",Medicine,39
1275,"Tu, Priscilla",Community and Family Medicine,14
1276,"Cabeza, Roberto",Psychology and Neuroscience,56
1277,"Madden, David Joseph",Psychiatry & Behavioral Sciences,55
1278,"Marsh, Elizabeth J.",Psychology and Neuroscience,56
1279,"Segars, William Paul",Radiology,58
1280,"O'Daniel, Jennifer Colleen",Radiation Oncology,57
1281,"Cui, Yunfeng",Radiation Oncology,57
1282,"Calakos, Nicole",Neurology,43
1283,"West, Anne Elizabeth",Neurobiology,42
1284,"Wetsel, William Christopher",Psychiatry & Behavioral Sciences,55
1285,"Calderbank, Robert",Computer Science,15
1286,"Sorin, Daniel J.",Electrical and Computer Engineering,26
1287,"Caldwell, Bruce J.",Economics,24
1288,"Udayakumar, Krishnakumar",Duke Global Health Institute,21
1289,"Christopher, Eric James",Psychiatry & Behavioral Sciences,55
1290,"Wagner, Galen Strohm",Medicine,39
1291,"Neelon, Brian Hugh",Biostatistics & Bioinformatics,9
1292,"Campbell, Douglas",Divinity School,20
1293,"Campbell, Lisa",Marine Science and Conservation,35
1294,"Carboni, Michael Paul",Pediatrics,48
1295,"Candogan, Utku Ozan",Fuqua School of Business,30
1296,"Cant, Nell Beatty",Neurobiology,42
1297,"Capel, Blanche",Cell Biology,10
1298,"Greenfield, Ruth Ann",Medicine,39
1299,"Cardenas-Corona, Maria Elena",Molecular Genetics and Microbiology,40
1300,"Heitman, Joseph",Molecular Genetics and Microbiology,40
1301,"Pastva, Amy Martha",Community and Family Medicine,14
1302,"Counter, Christopher M.",Pharmacology & Cancer Biology,49
1303,"Gurley, Susan Bailey",Medicine,39
1304,"Feiler, Michael Justin",Medicine,39
1305,"Gellad, Ziad Fouad",Medicine,39
1306,"Wolf, Andrew Ira",Medicine,39
1307,"Cardones, Adela Rambi Guanco",Dermatology,18
1308,"Salazar Gonzales, Esther",Electrical and Computer Engineering,26
1309,"Carlson, Alan Neil",Ophthalmology,45
1310,"DelMonte, Derek Wills",Ophthalmology,45
1311,"Carman, Margaret J",School of Nursing,63
1312,"Turner, Kathleen Marie",School of Nursing,63
1313,"Sabol, Valerie Kay",School of Nursing,63
1314,"Carnes, Nicholas W.",Sanford School of Public Policy,61
1315,"Nicholls, Peter Jeff",Psychiatry & Behavioral Sciences,55
1316,"Zhang, Xiaodong",Psychiatry & Behavioral Sciences,55
1317,"Premont, Richard Thomas",Medicine,39
1318,"Meck, Warren H.",Psychology and Neuroscience,56
1319,"Nicolelis, Miguel Angelo L.",Neurobiology,42
1320,"Carter, Brigit Maria",School of Nursing,63
1321,"Cary, Michael Paul",School of Nursing,63
1322,"Spiridigliozzi, Gail A.",Psychiatry,54
1323,"Casey, Patrick John",Pharmacology & Cancer Biology,49
1324,"Moss, Jennifer Barnett",Medicine,39
1325,"Odgers, Candice L.",Sanford School of Public Policy,61
1326,"Hariri, Ahmad",Psychology and Neuroscience,56
1327,"Cassar, Nicolas",Earth and Ocean Sciences,23
1328,"Cassidy, Frederick",Psychiatry & Behavioral Sciences,55
1329,"Wilson, William Herman",Psychiatry & Behavioral Sciences,55
1330,"Cetinkaya-Rundel, Mine",Statistical Science,67
1331,"Chakrabarty, Krishnendu",Electrical and Computer Engineering,26
1332,"Choudhury, Romit Roy",Electrical and Computer Engineering,26
1333,"Fair, Richard B.",Electrical and Computer Engineering,26
1334,"Gonzalez, Pedro",Ophthalmology,45
1335,"Rao, Ponugoti Vasantha",Ophthalmology,45
1336,"Vann, Robin Raul",Ophthalmology,45
1337,"Mettu, Priyatham S",Ophthalmology,45
1338,"Chameides, William",Earth and Ocean Sciences,23
1339,"Pickett, Lisa Clark",Surgery,68
1340,"Vorderstrasse, Allison Amend",School of Nursing,63
1341,"Hueckel, Remi M",School of Nursing,63
1342,"Muckler, Virginia Chris",School of Nursing,63
1343,"Sanders, Edward Garner",Anesthesiology,2
1344,"Vacchiano, Charles Andrew",School of Nursing,63
1345,"Relf, Michael Vernon",School of Nursing,63
1346,"Chan, Chi Wei Cliburn",Biostatistics & Bioinformatics,9
1347,"West, Michael",Statistical Science,67
1348,"Chandrasekharan, Shailesh",Physics,51
1349,"Chandrasekharan, Subhashini",Duke Global Health Institute,21
1350,"Cook-Deegan, Robert M.",Sanford School of Public Policy,61
1351,"Chang, Albert M.",Physics,51
1352,"Chang, Ching-yi",Pharmacology & Cancer Biology,49
1353,"McDonnell, Donald Patrick",Pharmacology & Cancer Biology,49
1354,"Rathmell, Jeffrey Charles",Pharmacology & Cancer Biology,49
1355,"Shinohara, Mari L.",Immunology,33
1356,"Chen, Jun",Medicine,39
1357,"Yoshizumi, Terry Takatoshi",Radiology,58
1358,"Tuchman, Sascha Alexander",Medicine,39
1359,"Chen, Dongfeng",Pathology,47
1360,"Prasad, Vinod K.",Pediatrics,48
1361,"Doan, Phuong Linh",Medicine,39
1362,"Kurtzberg, Joanne",Pediatrics,48
1363,"He, You-Wen",Immunology,33
1364,"Li, Qi-Jing",Immunology,33
1365,"Chappel, James Gregory",History,32
1366,"Charbonneau, Patrick",Chemistry,11
1367,"Wiley, Benjamin J.",Chemistry,11
1368,"Charles, Hal Cecil",Radiology,58
1369,"Charney, Evan",Sanford School of Public Policy,61
1370,"Chartrand, Tanya L.",Fuqua School of Business,30
1371,"Shah, James",Psychology and Neuroscience,56
1372,"Chase, Jeffrey S.",Computer Science,15
1373,"Schmit, Kristine Marie",Community and Family Medicine,14
1374,"Chatterji, Aaron",Fuqua School of Business,30
1375,"Chaves, Mark Alan",Sociology,66
1376,"Govert, Joseph Alan",Medicine,39
1377,"Ofori-Amanfo, George",Pediatrics,48
1378,"Chen, Chin Ho",Surgery,68
1379,"Huang, Li",Surgery,68
1380,"Chen, Chuan-Hua",Mechanical Engineering and Materials Science,37
1381,"Pavlisko, Elizabeth N",Pathology,47
1382,"Chen, Enn-Ling",Medicine,39
1383,"Hoffman, Brenton D.",Biomedical Engineering,8
1384,"Chen, Li Juan",Fuqua School of Business,30
1385,"Hazen, Kevin C",Pathology,47
1386,"Chen, Meng",Biology,7
1387,"Chen, Nan-kuei",Radiology,58
1388,"Song, Allen Wuming",Radiology,58
1389,"Truong, Trong-Kha",Radiology,58
1390,"Greeson, Jeffrey Michael",Psychiatry & Behavioral Sciences,55
1391,"Chen, Qi",Fuqua School of Business,30
1392,"Cheng, Qing",Surgery,68
1393,"Haystead, Timothy Arthur James",Pharmacology & Cancer Biology,49
1394,"Chia, Jessica Yue-Ling",Medicine,39
1395,"Chiang, Ambrose An-Po",Medicine,39
1396,"Leggett, Melanie K.",Psychiatry & Behavioral Sciences,55
1397,"Guyton, John Richard",Medicine,39
1398,"Chilkoti, Ashutosh",Biomedical Engineering,8
1399,"Cook, J Michael",Immunology,33
1400,"Urzhumov, Yaroslav A.",Electrical and Computer Engineering,26
1401,"Hinton, David E.",Environmental Sciences and Policy,28
1402,"Needham, David",Mechanical Engineering and Materials Science,37
1403,"Lopez, Gabriel P.",Biomedical Engineering,8
1404,"McCafferty, Dewey G.",Chemistry,11
1405,"Chilukuri, Vani Rao",Neurology,43
1406,"Chin, Bennett B.",Radiology,58
1407,"Vaidyanathan, Ganesan",Radiology,58
1408,"White, Leonard Edward",Community and Family Medicine,14
1409,"Worni, Mathias",Surgery,68
1410,"Sporn, Thomas Arthur",Pathology,47
1411,"Chitneni, Satish K.",Radiology,58
1412,"Cho, Alex Han",Medicine,39
1413,"Haga, Susanne B.",Medicine,39
1414,"Joy, Scott Victor",Medicine,39
1415,"Garman, Katherine Schuver",Medicine,39
1416,"DeRuyter, Frank",Surgery,68
1417,"Chow, Rey",Literature,34
1418,"Jung, Sin-Ho",Biostatistics & Bioinformatics,9
1419,"Mangum, Oscar Barry",Medicine,39
1420,"Noveck, Robert Joseph",Medicine,39
1421,"Chrisman, Allan Krekeler",Psychiatry,54
1422,"Sapyta, Jeffrey J.",Psychiatry,54
1423,"Dew, Rachel E",Psychiatry,54
1424,"Crawford, Jeffrey",Medicine,39
1425,"Stevenson, Marvaretta Miesha",Medicine,39
1426,"Wahidi, Momen Mohammed",Medicine,39
1427,"Christensen, Norman L.",Environmental Sciences and Policy,28
1428,"Edwards, Pamela Ballance",School of Nursing,63
1429,"Chudgar, Saumil Mahendra",Medicine,39
1430,"Chung, Richard Joonoh",Pediatrics,48
1431,"Maslow, Gary Ross",Psychiatry,54
1432,"Churchill, Steven E.",Evolutionary Anthropology,29
1433,"Mirotsou, Maria",Medicine,39
1434,"Cianciolo, George James",Pathology,47
1435,"Ciofani, Maria",Immunology,33
1436,"Willis, John H.",Biology,7
1437,"Vilgalys, Rytas J.",Biology,7
1438,"Domec, Jean  Christophe",Environmental Sciences and Policy,28
1439,"Mantyh, Christopher Ritchie",Surgery,68
1440,"Freedman, Jennifer",Medicine,39
1441,"Shortell, Cynthia Keene",Surgery,68
1442,"Migaly, John",Surgery,68
1443,"Ferranti, Jeffrey Michael",Pediatrics,48
1444,"Clemen, Robert T.",Fuqua School of Business,30
1445,"Clements III, Dennis Alfred",Pediatrics,48
1446,"Neelon, Sara Elizabeth",Community and Family Medicine,14
1447,"Clotfelter, Charles T.",Sanford School of Public Policy,61
1448,"Ladd, Helen F.",Sanford School of Public Policy,61
1449,"Muschkin, Clara G.",Sanford School of Public Policy,61
1450,"Serafini, Sandra",Surgery,68
1451,"Cocks, F. Hadley",Mechanical Engineering and Materials Science,37
1452,"Simmons, Walter Neal",Mechanical Engineering and Materials Science,37
1453,"Lipkin, Michael Eric",Surgery,68
1454,"Preminger, Glenn Michael",Surgery,68
1455,"Zhong, Pei",Mechanical Engineering and Materials Science,37
1456,"Coers, Jorn",Molecular Genetics and Microbiology,40
1457,"Valdivia, Raphael H.",Molecular Genetics and Microbiology,40
1458,"Van Mater, Heather Ann",Pediatrics,48
1459,"Hargett III, Charles William",Medicine,39
1460,"Kraft, Bryan David",Medicine,39
1461,"Fisher, Deborah Anne",Medicine,39
1462,"Coffman, Thomas Myron",Medicine,39
1463,"Lehrich, Ruediger Wilhelm",Medicine,39
1464,"Spurney, Robert Frank",Medicine,39
1465,"Coggins, Brian Edward",Biochemistry,6
1466,"Zhou, Pei",Biochemistry,6
1467,"Hastings, Susan Nicole",Medicine,39
1468,"Johnson, Kimberly Sherell",Medicine,39
1469,"Cousins, Scott William",Ophthalmology,45
1470,"Whitaker, Diane Beasley",Ophthalmology,45
1471,"Rao, Arati Vasanth",Medicine,39
1472,"Robins, Clive Justin",Psychiatry & Behavioral Sciences,55
1473,"Coleman, Doriane Lambelet",School of Law,62
1474,"Rosoff, Philip Martin",Pediatrics,48
1475,"Coleman, Wilbur John",Fuqua School of Business,30
1476,"Collins, Timothy Alan",Neurology,43
1477,"Huh, Billy Keon",Anesthesiology,2
1478,"Weber, Thomas Joseph",Anesthesiology,2
1479,"Weber, Thomas Joseph",Anesthesiology,2
1480,"Lee, Richard Hsang-Young",Medicine,39
1481,"Colsher, James George",Radiology,58
1482,"Colton, Carol Anne",Neurology,43
1483,"Comer, Denise K.",Thompson Writing Program,70
1484,"Compton, Jill Serafin",Psychiatry,54
1485,"Compton, Scott Nathan",Psychiatry,54
1486,"Conitzer, Vincent",Computer Science,15
1487,"Taylor, Curtis R.",Economics,24
1488,"Conrad, Robert F.",Sanford School of Public Policy,61
1489,"Cook, Jonathan Lambert",Dermatology,18
1490,"Cook, Philip J.",Sanford School of Public Policy,61
1491,"Cook, Sarah",Psychiatry & Behavioral Sciences,55
1492,"Cooper, Harris M.",Psychology and Neuroscience,56
1493,"Copeland, Joyce A.",Community and Family Medicine,14
1494,"Halstater, Brian Hugh",Community and Family Medicine,14
1495,"Martinez-Bianchi, Viviana Sandra",Community and Family Medicine,14
1496,"Michener, James Lloyd",Community and Family Medicine,14
1497,"Sheline, Barbara LaTowsky",Community and Family Medicine,14
1498,"Tran, Anh Nhat",Community and Family Medicine,14
1499,"Weigle, Nancy Jean",Community and Family Medicine,14
1500,"Hull, Sharon Kay",Community and Family Medicine,14
1501,"Kaprielian, Victoria Susan",Community and Family Medicine,14
1502,"Koo, Denise Tze-wen",Community and Family Medicine,14
1503,"Tilson, Hugh Hanna",Community and Family Medicine,14
1504,"Corless, Joseph M.",Cell Biology,10
1505,"Costanzo, Philip R.",Psychology and Neuroscience,56
1506,"Grimes, Christina",Psychology and Neuroscience,56
1507,"Putallaz, Martha",Psychology and Neuroscience,56
1508,"Sloan, Frank A.",Economics,24
1509,"Cothran Jr., Roger Lee",Radiology,58
1510,"Gustafson, Kathryn E.",Psychiatry,54
1511,"Crouchley, Jillian Leigh",Pediatrics,48
1512,"Foreman, John William",Pediatrics,48
1513,"Thiele, Dennis James",Pharmacology & Cancer Biology,49
1514,"MacAlpine, David Michael",Pharmacology & Cancer Biology,49
1515,"Hahn, Paul",Ophthalmology,45
1516,"Lad, Eleonora Georgeta",Ophthalmology,45
1517,"Malek, Goldis",Ophthalmology,45
1518,"Moretti, Eugene William",Anesthesiology,2
1519,"Holland, David Preston",Medicine,39
1520,"Naggie, Susanna",Medicine,39
1521,"Cox, Landon P.",Computer Science,15
1522,"Cox, Mitchell Wayne",Surgery,68
1523,"Mureebe, Leila",Surgery,68
1524,"Song, Haijun",Radiation Oncology,57
1525,"Joines, William T.",Electrical and Computer Engineering,26
1526,"Maccarini, Paolo F",Biomedical Engineering,8
1527,"Craig, Anna Elizabeth",Psychiatry,54
1528,"Crawford, Gregory E.",Pediatrics,48
1529,"Reddy, Timothy E",Biostatistics & Bioinformatics,9
1530,"Willard, Huntington Faxon",Biology,7
1531,"Gersbach, Charles",Biomedical Engineering,8
1532,"Hartemink, Alexander J.",Computer Science,15
1533,"Salama, Joseph Kamel",Radiation Oncology,57
1534,"Wang, Xiaofei",Biostatistics & Bioinformatics,9
1535,"Crawford, Regina Denise",Medicine,39
1536,"Feliu, Miriam Helen",Psychiatry & Behavioral Sciences,55
1537,"Crichlow, Michaeline A.",African and African American Studies,1
1538,"Middleton, John Paul",Medicine,39
1539,"Hong, Jiyong",Chemistry,11
1540,"Fitzgerald, Michael C.",Chemistry,11
1541,"Cullen, Bryan Richard",Molecular Genetics and Microbiology,40
1542,"Luftig, Micah Alan",Molecular Genetics and Microbiology,40
1543,"Cummer, Steven A.",Electrical and Computer Engineering,26
1544,"Cummings, Jonathon",Fuqua School of Business,30
1545,"Foo, Wen Chi",Pathology,47
1546,"Proia, Alan David",Pathology,47
1547,"Woodward, Julie Ann",Ophthalmology,45
1548,"Muh, Carrie Rebecca",Surgery,68
1549,"Cunningham III, Calhoun Dove",Surgery,68
1550,"Cunningham, Clifford W.",Biology,7
1551,"Van Dover, Cindy",Marine Science and Conservation,35
1552,"Terborgh, John W.",Environmental Sciences and Policy,28
1553,"Curlin, Farr A",Medicine,39
1554,"Mauro, Christian F.",Psychiatry,54
1555,"Curtarolo, Stefano",Mechanical Engineering and Materials Science,37
1556,"Scales Jr., Charles Douglas",Surgery,68
1557,"Wiener, John Samuel",Surgery,68
1558,"Peterson, Andrew Charles",Surgery,68
1559,"Ellestad, Sarah Catherine",Obstetrics and Gynecology,44
1560,"Daley, Brendan",Fuqua School of Business,30
1561,"Dalvi, Samir R",Medicine,39
1562,"Meltzer, Eric Barrie",Medicine,39
1563,"Wolfe, Walter George",Surgery,68
1564,"Darcey, Dennis J.",Community and Family Medicine,14
1565,"Darity Jr., William A.",Sanford School of Public Policy,61
1566,"Langdon, Scott Douglas",Immunology,33
1567,"Dash, Rajesh Chandra",Pathology,47
1568,"Friedman, Daphne Ruth",Medicine,39
1569,"Weinberg, Joe Brice",Medicine,39
1570,"Stoecker, Maggie Marie",Pathology,47
1571,"LU, JIANFENG",Mathematics,36
1572,"Daubert, Melissa Anne",Medicine,39
1573,"Lugar, Patricia Lynne",Medicine,39
1574,"Shofer, Scott Leigh",Medicine,39
1575,"Davis, Linda Lindsey",School of Nursing,63
1576,"Davis, Naomi O.",Psychiatry,54
1577,"Dawson, Hana Nenicka",Neurology,43
1578,"Kolls, Bradley Jason",Neurology,43
1579,"De Bellis, Michael Damingo",Psychiatry,54
1580,"Gallentine, William Brian",Pediatrics,48
1581,"Mikati, Mohamad Abdul",Pediatrics,48
1582,"Rothman, Jennifer Ann",Pediatrics,48
1583,"Zennadi, Rahima",Medicine,39
1584,"Tanabe, Paula J",School of Nursing,63
1585,"De Gagne, Jennie",School of Nursing,63
1586,"Deak, Kristen Lee",Pathology,47
1587,"Horn, Sarah Rapisardo",Pathology,47
1588,"Dear, Keith Brian Gordon",Duke Global Health Institute,21
1589,"DeFrantz, Thomas",African and African American Studies,1
1590,"DeFrate, Louis Edwin",Orthopaedics,46
1591,"Spritzer, Charles Edward",Radiology,58
1592,"Taylor, Dean Curtis",Orthopaedics,46
1593,"Little, Dianne",Orthopaedics,46
1594,"Lee, Jaewoo",Surgery,68
1595,"DeLong, Elizabeth Ray",Biostatistics & Bioinformatics,9
1596,"Dement, John McCray",Community and Family Medicine,14
1597,"Epling, Carol Ann",Community and Family Medicine,14
1598,"Lipscomb, Hester Johnstone",Community and Family Medicine,14
1599,"Myers, Douglas Joseph",Community and Family Medicine,14
1600,"Schoenfisch, Ashley Land",Community and Family Medicine,14
1601,"Denardo, Scott Jeffrey",Medicine,39
1602,"Tcheng, James Enlou",Medicine,39
1603,"Rodrigo, Allen G",Biology,7
1604,"Derbyshire, Emily Rose",Chemistry,11
1605,"Derouin, Anne Lynn",School of Nursing,63
1606,"Desai, Preyas S.",Fuqua School of Business,30
1607,"Purohit, Devavrat",Fuqua School of Business,30
1608,"Deshusses, Marc",Civil and Environmental Engineering,12
1609,"Deutsch, Sarah Jane",History,32
1610,"Hochman, Daryl William",Surgery,68
1611,"Shan, Siqing",Radiation Oncology,57
1612,"Vollmer, Robin Tutt",Pathology,47
1613,"Li, Chuan-Yuan",Dermatology,18
1614,"Kornbluth, Sally A.",Pharmacology & Cancer Biology,49
1615,"Stapleton, Heather M.",Environmental Sciences and Policy,28
1616,"Rittschof, Daniel",Marine Science and Conservation,35
1617,"DiBernardo, Louis Robert",Pathology,47
1618,"Manson, Roberto Jose",Surgery,68
1619,"Provenzale, Dawn Tranchino",Medicine,39
1620,"Petes, Thomas Douglas",Molecular Genetics and Microbiology,40
1621,"Dikolli, Shane S.",Fuqua School of Business,30
1622,"Mayew, William J.",Fuqua School of Business,30
1623,"Dobbins III, James T.",Radiology,58
1624,"Ravin, Carl Eric",Radiology,58
1625,"Nolte, Loren W.",Electrical and Computer Engineering,26
1626,"Godfrey, Devon James",Radiation Oncology,57
1627,"Lansford, Jennifer",Social Science Research Institute,65
1628,"Dolbow, John Everett",Civil and Environmental Engineering,12
1629,"Laursen, Tod A.",Mechanical Engineering and Materials Science,37
1630,"Wolever, Ruth Quillian",Psychiatry & Behavioral Sciences,55
1631,"Dombrowski, Keith",Neurology,43
1632,"Donahue, Mark Paul",Medicine,39
1633,"Donahue, William Collins",Germanic Languages,31
1634,"Richardson, David C.",Biochemistry,6
